Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1520380374,2018-03-06T23:52:54Z,JBU833,"42.367668,-71.017433",0,0,239
1520380430,2018-03-06T23:53:50Z,JBU833,"42.367676,-71.017448",0,0,28
1520380567,2018-03-06T23:56:07Z,JBU833,"42.36771,-71.017403",0,0,43
1520380765,2018-03-06T23:59:25Z,JBU833,"42.367596,-71.0177",0,0,209
1520380799,2018-03-06T23:59:59Z,JBU833,"42.367668,-71.01741",0,0,209
1520380931,2018-03-07T00:02:11Z,JBU833,"42.367702,-71.017395",0,0,206
1520381027,2018-03-07T00:03:47Z,JBU833,"42.36771,-71.017387",0,0,5
1520381067,2018-03-07T00:04:27Z,JBU833,"42.36771,-71.017387",0,0,5
1520381163,2018-03-07T00:06:03Z,JBU833,"42.367722,-71.017372",0,0,39
1520381296,2018-03-07T00:08:16Z,JBU833,"42.367699,-71.017387",0,0,199
1520381428,2018-03-07T00:10:28Z,JBU833,"42.367691,-71.017395",0,0,199
1520381595,2018-03-07T00:13:15Z,JBU833,"42.367714,-71.017395",0,0,220
1520381818,2018-03-07T00:16:58Z,JBU833,"42.36779,-71.017624",0,0,297
1520381837,2018-03-07T00:17:17Z,JBU833,"42.367714,-71.017395",0,0,89
1520381983,2018-03-07T00:19:43Z,JBU833,"42.367722,-71.017433",0,0,290
1520382050,2018-03-07T00:20:50Z,JBU833,"42.367702,-71.01738",0,0,117
1520382156,2018-03-07T00:22:36Z,JBU833,"42.367714,-71.017395",0,0,271
1520382251,2018-03-07T00:24:11Z,JBU833,"42.367714,-71.01738",0,0,58
1520382449,2018-03-07T00:27:29Z,JBU833,"42.367714,-71.017395",0,0,128
1520382519,2018-03-07T00:28:39Z,JBU833,"42.367722,-71.017387",0,0,89
1520382776,2018-03-07T00:32:56Z,JBU833,"42.36771,-71.017372",0,0,96
1520382873,2018-03-07T00:34:33Z,JBU833,"42.367714,-71.017395",0,0,220
1520383171,2018-03-07T00:39:31Z,JBU833,"42.36771,-71.017387",0,0,121
