Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1520160758,2018-03-04T10:52:38Z,BAW11M,"51.469177,-0.477066",0,0,36
1520160866,2018-03-04T10:54:26Z,BAW11M,"51.469173,-0.47707",0,0,346
1520161379,2018-03-04T11:02:59Z,BAW11M,"51.469166,-0.477066",0,0,165
1520161533,2018-03-04T11:05:33Z,BAW11M,"51.469173,-0.477367",0,9,78
1520161554,2018-03-04T11:05:54Z,BAW11M,"51.469173,-0.477738",0,10,78
1520161575,2018-03-04T11:06:15Z,BAW11M,"51.469162,-0.478109",0,10,78
1520161595,2018-03-04T11:06:35Z,BAW11M,"51.469238,-0.478439",0,9,78
1520161620,2018-03-04T11:07:00Z,BAW11M,"51.469425,-0.478666",0,2,78
1520161882,2018-03-04T11:11:22Z,BAW11M,"51.469173,-0.478666",0,13,78
1520161908,2018-03-04T11:11:48Z,BAW11M,"51.468452,-0.478666",0,18,78
1520161933,2018-03-04T11:12:13Z,BAW11M,"51.467709,-0.478648",0,18,78
1520161944,2018-03-04T11:12:24Z,BAW11M,"51.46748,-0.478802",0,14,78
1520161951,2018-03-04T11:12:31Z,BAW11M,"51.467457,-0.479019",0,14,75
1520161960,2018-03-04T11:12:40Z,BAW11M,"51.467434,-0.479297",0,15,75
1520161972,2018-03-04T11:12:52Z,BAW11M,"51.467434,-0.479851",0,17,75
1520161993,2018-03-04T11:13:13Z,BAW11M,"51.467422,-0.480709",0,11,75
1520162060,2018-03-04T11:14:20Z,BAW11M,"51.467422,-0.481487",0,15,75
1520162109,2018-03-04T11:15:09Z,BAW11M,"51.467411,-0.48364",0,18,75
1520162167,2018-03-04T11:16:07Z,BAW11M,"51.467396,-0.486336",0,2,75
1520162209,2018-03-04T11:16:49Z,BAW11M,"51.467434,-0.479446",0,0,345
1520162457,2018-03-04T11:20:57Z,BAW11M,"51.4674,-0.486683",0,13,75
1520162463,2018-03-04T11:21:03Z,BAW11M,"51.467396,-0.486927",0,13,75
1520162475,2018-03-04T11:21:15Z,BAW11M,"51.467316,-0.487289",0,13,75
1520162491,2018-03-04T11:21:31Z,BAW11M,"51.467091,-0.487426",0,12,75
1520162528,2018-03-04T11:22:08Z,BAW11M,"51.465878,-0.487722",0,25,75
1520162537,2018-03-04T11:22:17Z,BAW11M,"51.465591,-0.487834",0,22,75
1520162543,2018-03-04T11:22:23Z,BAW11M,"51.465324,-0.487862",0,21,75
1520162549,2018-03-04T11:22:29Z,BAW11M,"51.46508,-0.487709",0,19,75
1520162558,2018-03-04T11:22:38Z,BAW11M,"51.464893,-0.487426",0,16,75
1520162570,2018-03-04T11:22:50Z,BAW11M,"51.464802,-0.48708",0,12,75
1520162586,2018-03-04T11:23:06Z,BAW11M,"51.464779,-0.48666",0,12,75
1520162601,2018-03-04T11:23:21Z,BAW11M,"51.464779,-0.48645",0,0,89
1520162650,2018-03-04T11:24:10Z,BAW11M,"51.46479,-0.479069",0,84,75
1520162656,2018-03-04T11:24:16Z,BAW11M,"51.464802,-0.474834",0,100,75
1520162662,2018-03-04T11:24:22Z,BAW11M,"51.464825,-0.470593",0,120,75
1520162671,2018-03-04T11:24:31Z,BAW11M,"51.464859,-0.460498",0,150,75
1520162677,2018-03-04T11:24:37Z,BAW11M,"51.464882,-0.45352",0,165,75
1520162683,2018-03-04T11:24:43Z,BAW11M,"51.464893,-0.451052",0,0,89
1520162695,2018-03-04T11:24:55Z,BAW11M,"51.46508,-0.428772",1125,177,88
1520162701,2018-03-04T11:25:01Z,BAW11M,"51.465225,-0.422231",1275,178,88
1520162722,2018-03-04T11:25:22Z,BAW11M,"51.45932,-0.39863",1750,166,133
1520162732,2018-03-04T11:25:32Z,BAW11M,"51.452679,-0.39224",1975,171,159
1520162756,2018-03-04T11:25:56Z,BAW11M,"51.433151,-0.40085",2550,174,221
1520162763,2018-03-04T11:26:03Z,BAW11M,"51.430592,-0.40428",2700,174,221
1520162773,2018-03-04T11:26:13Z,BAW11M,"51.422611,-0.4157",3050,176,222
1520162779,2018-03-04T11:26:19Z,BAW11M,"51.421009,-0.41741",3150,177,221
1520162788,2018-03-04T11:26:28Z,BAW11M,"51.415321,-0.42526",3450,175,221
1520162799,2018-03-04T11:26:39Z,BAW11M,"51.40686,-0.43648",3825,177,221
1520162808,2018-03-04T11:26:48Z,BAW11M,"51.400269,-0.44517",4100,185,219
1520162818,2018-03-04T11:26:58Z,BAW11M,"51.394001,-0.4543",4450,185,226
1520162828,2018-03-04T11:27:08Z,BAW11M,"51.389599,-0.46633",4675,186,242
1520162838,2018-03-04T11:27:18Z,BAW11M,"51.388222,-0.48248",4875,209,270
1520162849,2018-03-04T11:27:29Z,BAW11M,"51.389339,-0.495",5025,215,279
1520162858,2018-03-04T11:27:38Z,BAW11M,"51.391979,-0.50938",5200,220,283
1520162864,2018-03-04T11:27:44Z,BAW11M,"51.392441,-0.512646",5200,222,286
1520162879,2018-03-04T11:27:59Z,BAW11M,"51.399948,-0.550207",5550,251,287
1520162891,2018-03-04T11:28:11Z,BAW11M,"51.404343,-0.57218",5750,265,287
1520162903,2018-03-04T11:28:23Z,BAW11M,"51.408783,-0.595118",6050,275,287
1520162915,2018-03-04T11:28:35Z,BAW11M,"51.413315,-0.618649",6500,280,286
1520162927,2018-03-04T11:28:47Z,BAW11M,"51.417709,-0.642997",6850,290,286
1520162939,2018-03-04T11:28:59Z,BAW11M,"51.422115,-0.666122",7300,296,286
1520162951,2018-03-04T11:29:11Z,BAW11M,"51.427139,-0.693326",7950,296,287
1520162963,2018-03-04T11:29:23Z,BAW11M,"51.432175,-0.718565",8425,298,286
1520162975,2018-03-04T11:29:35Z,BAW11M,"51.436981,-0.744175",8750,301,286
1520162987,2018-03-04T11:29:47Z,BAW11M,"51.44165,-0.770008",8950,303,286
1520162999,2018-03-04T11:29:59Z,BAW11M,"51.446648,-0.797958",9000,303,286
1520163011,2018-03-04T11:30:11Z,BAW11M,"51.450989,-0.821673",8975,303,286
1520163035,2018-03-04T11:30:35Z,BAW11M,"51.460693,-0.873413",9025,303,286
1520163047,2018-03-04T11:30:47Z,BAW11M,"51.466061,-0.901413",9025,304,286
1520163059,2018-03-04T11:30:59Z,BAW11M,"51.470947,-0.927429",9100,306,286
1520163071,2018-03-04T11:31:11Z,BAW11M,"51.475834,-0.953674",9450,307,286
1520163084,2018-03-04T11:31:24Z,BAW11M,"51.480724,-0.979919",9975,308,286
1520163095,2018-03-04T11:31:35Z,BAW11M,"51.485611,-1.006241",10425,311,286
1520163107,2018-03-04T11:31:47Z,BAW11M,"51.490639,-1.033249",10650,320,286
1520163119,2018-03-04T11:31:59Z,BAW11M,"51.495392,-1.058844",10800,331,287
1520163131,2018-03-04T11:32:11Z,BAW11M,"51.501389,-1.08735",11100,339,287
1520163143,2018-03-04T11:32:23Z,BAW11M,"51.507397,-1.119003",11425,346,287
1520163155,2018-03-04T11:32:35Z,BAW11M,"51.51297,-1.146512",11575,358,287
1520163167,2018-03-04T11:32:47Z,BAW11M,"51.518784,-1.177616",11725,370,286
1520163179,2018-03-04T11:32:59Z,BAW11M,"51.524807,-1.212463",11925,379,286
1520163191,2018-03-04T11:33:11Z,BAW11M,"51.531048,-1.245193",12175,388,286
