Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1519967682,2018-03-02T05:14:42Z,UAE225,"25.240961,55.374878",0,0,354
1519967727,2018-03-02T05:15:27Z,UAE225,"25.2407,55.37492",0,10,2
1519967757,2018-03-02T05:15:57Z,UAE225,"25.240368,55.374992",0,10,33
1519967777,2018-03-02T05:16:17Z,UAE225,"25.240105,55.37492",0,10,64
1519967803,2018-03-02T05:16:43Z,UAE225,"25.23991,55.374641",0,10,95
1519967818,2018-03-02T05:16:58Z,UAE225,"25.239891,55.374435",0,10,109
1519967833,2018-03-02T05:17:13Z,UAE225,"25.239914,55.374229",0,10,118
1519967849,2018-03-02T05:17:29Z,UAE225,"25.240007,55.374023",0,2,123
1519968046,2018-03-02T05:20:46Z,UAE225,"25.240042,55.374008",0,0,180
1519968129,2018-03-02T05:22:09Z,UAE225,"25.23991,55.374249",0,11,123
1519968137,2018-03-02T05:22:17Z,UAE225,"25.239798,55.374489",0,14,118
1519968148,2018-03-02T05:22:28Z,UAE225,"25.239727,55.37476",0,16,109
1519968163,2018-03-02T05:22:43Z,UAE225,"25.239727,55.375187",0,17,92
1519968173,2018-03-02T05:22:53Z,UAE225,"25.239809,55.375511",0,17,78
1519968183,2018-03-02T05:23:03Z,UAE225,"25.239967,55.375797",0,18,61
1519968193,2018-03-02T05:23:13Z,UAE225,"25.240196,55.376026",0,18,47
1519968214,2018-03-02T05:23:34Z,UAE225,"25.24074,55.376404",0,21,30
1519968229,2018-03-02T05:23:49Z,UAE225,"25.241318,55.376789",0,23,30
1519968239,2018-03-02T05:23:59Z,UAE225,"25.241684,55.377045",0,23,30
1519968269,2018-03-02T05:24:29Z,UAE225,"25.242624,55.377701",0,18,30
1519968280,2018-03-02T05:24:40Z,UAE225,"25.242893,55.377895",0,16,30
1519968290,2018-03-02T05:24:50Z,UAE225,"25.243069,55.378113",0,18,62
1519968305,2018-03-02T05:25:05Z,UAE225,"25.242977,55.378609",0,19,98
1519968330,2018-03-02T05:25:30Z,UAE225,"25.242508,55.379345",0,21,123
1519968346,2018-03-02T05:25:46Z,UAE225,"25.242147,55.38002",0,23,120
1519968355,2018-03-02T05:25:55Z,UAE225,"25.241915,55.380436",0,24,120
1519968366,2018-03-02T05:26:06Z,UAE225,"25.241682,55.380875",0,25,120
1519968375,2018-03-02T05:26:15Z,UAE225,"25.241432,55.381329",0,26,120
1519968381,2018-03-02T05:26:21Z,UAE225,"25.241287,55.381588",0,27,120
