Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1519549288,2018-02-25T09:01:28Z,DLH454,"50.04705,8.561494",0,0,25
1519549905,2018-02-25T09:11:45Z,DLH454,"50.046856,8.561458",0,0,206
1519550012,2018-02-25T09:13:32Z,DLH454,"50.046867,8.56153",0,0,162
1519552377,2018-02-25T09:52:57Z,DLH454,"50.047073,8.56144",0,0,119
1519552708,2018-02-25T09:58:28Z,DLH454,"50.046844,8.561584",0,12,331
1519552729,2018-02-25T09:58:49Z,DLH454,"50.046509,8.561728",0,12,300
1519552746,2018-02-25T09:59:06Z,DLH454,"50.046284,8.562017",0,11,261
1519552753,2018-02-25T09:59:13Z,DLH454,"50.046272,8.562235",0,12,255
1519552761,2018-02-25T09:59:21Z,DLH454,"50.046299,8.562469",0,12,247
1519552774,2018-02-25T09:59:34Z,DLH454,"50.046387,8.562758",0,13,250
1519552780,2018-02-25T09:59:40Z,DLH454,"50.046444,8.562993",0,13,250
1519552789,2018-02-25T09:59:49Z,DLH454,"50.046494,8.563231",0,12,250
1519552801,2018-02-25T10:00:01Z,DLH454,"50.04657,8.563518",0,10,250
1519552849,2018-02-25T10:00:49Z,DLH454,"50.046593,8.56359",0,0,62
1519553191,2018-02-25T10:06:31Z,DLH454,"50.046509,8.563379",0,2,250
1519553209,2018-02-25T10:06:49Z,DLH454,"50.046448,8.563138",0,9,250
1519553236,2018-02-25T10:07:16Z,DLH454,"50.046368,8.562803",0,2,250
1519553263,2018-02-25T10:07:43Z,DLH454,"50.046261,8.562377",0,9,250
1519553278,2018-02-25T10:07:58Z,DLH454,"50.046204,8.562144",0,11,250
1519553293,2018-02-25T10:08:13Z,DLH454,"50.046089,8.561653",0,15,250
1519553309,2018-02-25T10:08:29Z,DLH454,"50.045952,8.561078",0,17,250
1519553317,2018-02-25T10:08:37Z,DLH454,"50.045879,8.560762",0,19,250
1519553323,2018-02-25T10:08:43Z,DLH454,"50.045792,8.560446",0,20,250
1519553329,2018-02-25T10:08:49Z,DLH454,"50.045704,8.560057",0,22,250
1519553338,2018-02-25T10:08:58Z,DLH454,"50.045483,8.559596",0,24,236
1519553345,2018-02-25T10:09:05Z,DLH454,"50.04517,8.559426",0,26,208
1519553359,2018-02-25T10:09:19Z,DLH454,"50.04443,8.559199",0,28,194
1519553365,2018-02-25T10:09:25Z,DLH454,"50.044121,8.559092",0,26,191
1519553371,2018-02-25T10:09:31Z,DLH454,"50.043797,8.559129",0,28,177
1519553380,2018-02-25T10:09:40Z,DLH454,"50.043434,8.559307",0,26,165
1519553386,2018-02-25T10:09:46Z,DLH454,"50.043217,8.55947",0,26,157
1519553393,2018-02-25T10:09:53Z,DLH454,"50.042877,8.559853",0,27,143
1519553399,2018-02-25T10:09:59Z,DLH454,"50.042645,8.560121",0,25,143
1519553405,2018-02-25T10:10:05Z,DLH454,"50.042427,8.560319",0,22,146
1519553417,2018-02-25T10:10:17Z,DLH454,"50.042061,8.560464",0,23,157
1519553425,2018-02-25T10:10:25Z,DLH454,"50.041592,8.56068",0,21,160
1519553434,2018-02-25T10:10:34Z,DLH454,"50.041271,8.560855",0,21,160
1519553440,2018-02-25T10:10:40Z,DLH454,"50.041054,8.560898",0,23,168
1519553450,2018-02-25T10:10:50Z,DLH454,"50.040768,8.560447",0,25,219
1519553458,2018-02-25T10:10:58Z,DLH454,"50.040665,8.559886",0,24,247
1519553464,2018-02-25T10:11:04Z,DLH454,"50.040562,8.559444",0,26,247
1519553470,2018-02-25T10:11:10Z,DLH454,"50.040455,8.558999",0,27,250
1519553479,2018-02-25T10:11:19Z,DLH454,"50.040367,8.558602",0,28,250
1519553488,2018-02-25T10:11:28Z,DLH454,"50.040104,8.55759",0,30,250
1519553497,2018-02-25T10:11:37Z,DLH454,"50.039932,8.556865",0,31,250
1519553503,2018-02-25T10:11:43Z,DLH454,"50.039791,8.556327",0,32,250
1519553512,2018-02-25T10:11:52Z,DLH454,"50.039627,8.555677",0,33,250
1519553518,2018-02-25T10:11:58Z,DLH454,"50.039513,8.555213",0,32,250
1519553527,2018-02-25T10:12:07Z,DLH454,"50.039303,8.554266",0,32,250
1519553534,2018-02-25T10:12:14Z,DLH454,"50.03915,8.553655",0,33,250
1519553551,2018-02-25T10:12:31Z,DLH454,"50.038731,8.551899",0,34,250
1519553557,2018-02-25T10:12:37Z,DLH454,"50.038559,8.551212",0,32,250
