Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1520230379,2018-03-05T06:12:59Z,CES589,"31.146822,121.798309",0,9,73
1520230397,2018-03-05T06:13:17Z,CES589,"31.146755,121.798042",0,9,73
1520230416,2018-03-05T06:13:36Z,CES589,"31.146671,121.797836",0,9,84
1520230434,2018-03-05T06:13:54Z,CES589,"31.146618,121.797585",0,9,101
1520230455,2018-03-05T06:14:15Z,CES589,"31.146618,121.797325",0,9,126
1520230476,2018-03-05T06:14:36Z,CES589,"31.146683,121.797096",0,9,151
1520230605,2018-03-05T06:16:45Z,CES589,"31.146835,121.796982",0,0,271
1520230744,2018-03-05T06:19:04Z,CES589,"31.146532,121.797112",0,15,160
1520230756,2018-03-05T06:19:16Z,CES589,"31.146149,121.797264",0,20,160
1520230762,2018-03-05T06:19:22Z,CES589,"31.145931,121.79734",0,23,163
1520230768,2018-03-05T06:19:28Z,CES589,"31.145634,121.797462",0,26,163
1520230774,2018-03-05T06:19:34Z,CES589,"31.145336,121.797569",0,29,163
1520230780,2018-03-05T06:19:40Z,CES589,"31.14497,121.797707",0,32,163
1520230786,2018-03-05T06:19:46Z,CES589,"31.144564,121.797852",0,15,163
1520230792,2018-03-05T06:19:52Z,CES589,"31.144121,121.798035",0,15,160
1520230798,2018-03-05T06:19:58Z,CES589,"31.143726,121.79818",0,33,163
1520230804,2018-03-05T06:20:04Z,CES589,"31.143423,121.798294",0,27,163
1520230810,2018-03-05T06:20:10Z,CES589,"31.143179,121.798386",0,21,163
1520230822,2018-03-05T06:20:22Z,CES589,"31.142876,121.7985",0,13,163
1520230837,2018-03-05T06:20:37Z,CES589,"31.142609,121.798592",0,13,163
1520230861,2018-03-05T06:21:01Z,CES589,"31.142029,121.79882",0,17,160
1520230873,2018-03-05T06:21:13Z,CES589,"31.141651,121.798973",0,19,160
1520230879,2018-03-05T06:21:19Z,CES589,"31.141434,121.799065",0,22,160
1520230888,2018-03-05T06:21:28Z,CES589,"31.14113,121.799377",0,25,135
1520230894,2018-03-05T06:21:34Z,CES589,"31.14109,121.799728",0,27,104
1520230900,2018-03-05T06:21:40Z,CES589,"31.141167,121.800026",0,28,81
1520230909,2018-03-05T06:21:49Z,CES589,"31.141363,121.800613",0,28,70
1520230915,2018-03-05T06:21:55Z,CES589,"31.141457,121.800926",0,28,70
1520230931,2018-03-05T06:22:11Z,CES589,"31.141731,121.801918",0,30,73
1520230939,2018-03-05T06:22:19Z,CES589,"31.141922,121.802567",0,15,70
1520230945,2018-03-05T06:22:25Z,CES589,"31.14204,121.802971",0,16,70
1520231003,2018-03-05T06:23:23Z,CES589,"31.14361,121.808609",0,21,70
1520231012,2018-03-05T06:23:32Z,CES589,"31.143726,121.809021",0,22,73
1520231018,2018-03-05T06:23:38Z,CES589,"31.144169,121.810631",0,23,70
1520231024,2018-03-05T06:23:44Z,CES589,"31.144283,121.81105",0,23,73
1520231249,2018-03-05T06:27:29Z,CES589,"31.128216,121.821175",0,20,163
1520231265,2018-03-05T06:27:45Z,CES589,"31.127329,121.821503",0,16,163
1520231325,2018-03-05T06:28:45Z,CES589,"31.12611,121.82267",0,9,73
1520231424,2018-03-05T06:30:24Z,CES589,"31.126133,121.822708",0,0,180
1520231463,2018-03-05T06:31:03Z,CES589,"31.126188,121.822929",0,14,73
1520231481,2018-03-05T06:31:21Z,CES589,"31.126442,121.823715",0,23,64
1520231512,2018-03-05T06:31:52Z,CES589,"31.127352,121.823715",0,13,340
1520231526,2018-03-05T06:32:06Z,CES589,"31.126211,121.823013",0,0,340
1520231596,2018-03-05T06:33:16Z,CES589,"31.147476,121.816086",0,165,342
1520231602,2018-03-05T06:33:22Z,CES589,"31.151825,121.814362",275,161,340
1520231608,2018-03-05T06:33:28Z,CES589,"31.155991,121.812637",500,163,340
1520231614,2018-03-05T06:33:34Z,CES589,"31.160625,121.810806",800,164,341
1520231621,2018-03-05T06:33:41Z,CES589,"31.164814,121.809265",1100,162,342
1520231629,2018-03-05T06:33:49Z,CES589,"31.171471,121.807671",1525,164,351
1520231653,2018-03-05T06:34:13Z,CES589,"31.18959,121.809624",2475,159,8
1520231659,2018-03-05T06:34:19Z,CES589,"31.193619,121.810371",2700,158,9
1520231668,2018-03-05T06:34:28Z,CES589,"31.200426,121.811844",3050,157,10
1520231674,2018-03-05T06:34:34Z,CES589,"31.204697,121.812798",3175,161,11
1520231680,2018-03-05T06:34:40Z,CES589,"31.209045,121.81382",3275,166,11
1520231686,2018-03-05T06:34:46Z,CES589,"31.213898,121.814949",3350,173,11
1520231696,2018-03-05T06:34:56Z,CES589,"31.221329,121.816628",3475,185,10
1520231704,2018-03-05T06:35:04Z,CES589,"31.229095,121.818291",3600,196,10
1520231710,2018-03-05T06:35:10Z,CES589,"31.234877,121.819481",3700,203,10
