Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1520064532,2018-03-03T08:08:52Z,ANA8,"35.761719,140.386887",0,9,140
1520064656,2018-03-03T08:10:56Z,ANA8,"35.761963,140.386627",0,0,321
1520064777,2018-03-03T08:12:57Z,ANA8,"35.76162,140.386887",0,17,149
1520064878,2018-03-03T08:14:38Z,ANA8,"35.759548,140.390839",0,27,151
1520064903,2018-03-03T08:15:03Z,ANA8,"35.758507,140.391571",0,26,157
1520064913,2018-03-03T08:15:13Z,ANA8,"35.758053,140.391373",0,25,230
1520064968,2018-03-03T08:16:08Z,ANA8,"35.756016,140.387039",0,17,244
1520064990,2018-03-03T08:16:30Z,ANA8,"35.756023,140.385513",0,32,292
1520065005,2018-03-03T08:16:45Z,ANA8,"35.756702,140.384888",0,29,334
1520065054,2018-03-03T08:17:34Z,ANA8,"35.758614,140.383514",0,29,329
1520065109,2018-03-03T08:18:29Z,ANA8,"35.760952,140.381836",0,24,329
1520065123,2018-03-03T08:18:43Z,ANA8,"35.761597,140.381363",0,27,329
1520065141,2018-03-03T08:19:01Z,ANA8,"35.762146,140.380753",0,25,284
1520065156,2018-03-03T08:19:16Z,ANA8,"35.762089,140.379761",0,26,289
1520065162,2018-03-03T08:19:22Z,ANA8,"35.762257,140.379547",0,26,320
1520065193,2018-03-03T08:19:53Z,ANA8,"35.76376,140.37854",0,32,329
1520065209,2018-03-03T08:20:09Z,ANA8,"35.764652,140.377884",0,16,329
1520065219,2018-03-03T08:20:19Z,ANA8,"35.76527,140.377441",0,17,329
1520065225,2018-03-03T08:20:25Z,ANA8,"35.765659,140.377151",0,16,329
1520065245,2018-03-03T08:20:45Z,ANA8,"35.766964,140.376205",0,17,329
1520065255,2018-03-03T08:20:55Z,ANA8,"35.767685,140.375687",0,18,329
1520065265,2018-03-03T08:21:05Z,ANA8,"35.768215,140.375305",0,17,329
1520065292,2018-03-03T08:21:32Z,ANA8,"35.77002,140.374008",0,16,329
1520065302,2018-03-03T08:21:42Z,ANA8,"35.770718,140.373505",0,17,329
1520065309,2018-03-03T08:21:49Z,ANA8,"35.771019,140.373276",0,16,329
1520065318,2018-03-03T08:21:58Z,ANA8,"35.771656,140.372818",0,34,329
1520065334,2018-03-03T08:22:14Z,ANA8,"35.772495,140.372192",0,29,329
1520065340,2018-03-03T08:22:20Z,ANA8,"35.772755,140.372009",0,25,329
1520065366,2018-03-03T08:22:46Z,ANA8,"35.773247,140.371674",0,0,334
1520065463,2018-03-03T08:24:23Z,ANA8,"35.773533,140.37146",0,14,329
1520065511,2018-03-03T08:25:11Z,ANA8,"35.773739,140.371292",0,2,329
1520065593,2018-03-03T08:26:33Z,ANA8,"35.774162,140.371002",0,17,329
1520065604,2018-03-03T08:26:44Z,ANA8,"35.774414,140.370819",0,18,329
1520065620,2018-03-03T08:27:00Z,ANA8,"35.774815,140.370529",0,17,329
1520065631,2018-03-03T08:27:11Z,ANA8,"35.775047,140.370377",0,16,329
1520065642,2018-03-03T08:27:22Z,ANA8,"35.775204,140.370148",0,16,315
1520065658,2018-03-03T08:27:38Z,ANA8,"35.775009,140.369781",0,13,247
1520065679,2018-03-03T08:27:59Z,ANA8,"35.774662,140.369186",0,22,239
1520065710,2018-03-03T08:28:30Z,ANA8,"35.773941,140.368515",0,17,171
1520065762,2018-03-03T08:29:22Z,ANA8,"35.772961,140.369293",0,39,149
1520065774,2018-03-03T08:29:34Z,ANA8,"35.770145,140.371338",0,90,149
1520065794,2018-03-03T08:29:54Z,ANA8,"35.761837,140.377335",0,155,149
1520065805,2018-03-03T08:30:05Z,ANA8,"35.751431,140.384735",300,155,150
1520065815,2018-03-03T08:30:15Z,ANA8,"35.744438,140.389603",675,173,149
1520065825,2018-03-03T08:30:25Z,ANA8,"35.737148,140.394913",1150,173,147
1520065835,2018-03-03T08:30:35Z,ANA8,"35.729691,140.400345",1675,173,148
1520065841,2018-03-03T08:30:41Z,ANA8,"35.726139,140.402939",1875,172,148
1520065851,2018-03-03T08:30:51Z,ANA8,"35.719631,140.407669",2225,174,148
1520065860,2018-03-03T08:31:00Z,ANA8,"35.712429,140.412933",2575,176,147
1520065870,2018-03-03T08:31:10Z,ANA8,"35.70454,140.418594",2950,184,149
1520065880,2018-03-03T08:31:20Z,ANA8,"35.69709,140.423965",3275,188,149
1520065890,2018-03-03T08:31:30Z,ANA8,"35.68932,140.429535",3425,192,148
1520065900,2018-03-03T08:31:40Z,ANA8,"35.680531,140.435837",3550,208,148
1520065911,2018-03-03T08:31:51Z,ANA8,"35.671692,140.442184",3675,226,148
