Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1520060045,2018-03-03T06:54:05Z,QFA73,"-33.934055,151.167618",0,0,270
1520060116,2018-03-03T06:55:16Z,QFA73,"-33.93401,151.167831",0,11,5
1520060132,2018-03-03T06:55:32Z,QFA73,"-33.933964,151.168076",0,10,5
1520060147,2018-03-03T06:55:47Z,QFA73,"-33.933929,151.168304",0,9,5
1520060170,2018-03-03T06:56:10Z,QFA73,"-33.933918,151.168594",0,10,5
1520060194,2018-03-03T06:56:34Z,QFA73,"-33.934032,151.168854",0,9,5
1520060215,2018-03-03T06:56:55Z,QFA73,"-33.934254,151.168961",0,2,5
1520060255,2018-03-03T06:57:35Z,QFA73,"-33.934021,151.168915",0,9,5
1520060367,2018-03-03T06:59:27Z,QFA73,"-33.933941,151.168915",0,0,90
1520060512,2018-03-03T07:01:52Z,QFA73,"-33.933426,151.168884",0,16,5
1520060523,2018-03-03T07:02:03Z,QFA73,"-33.93309,151.169067",0,20,5
1520060538,2018-03-03T07:02:18Z,QFA73,"-33.932812,151.16954",0,20,5
1520060548,2018-03-03T07:02:28Z,QFA73,"-33.932877,151.169983",0,20,5
1520060559,2018-03-03T07:02:39Z,QFA73,"-33.93322,151.17038",0,24,5
1520060578,2018-03-03T07:02:58Z,QFA73,"-33.934227,151.170807",0,31,5
1520060584,2018-03-03T07:03:04Z,QFA73,"-33.934532,151.170883",0,32,5
1520060594,2018-03-03T07:03:14Z,QFA73,"-33.934895,151.17099",0,32,5
1520060604,2018-03-03T07:03:24Z,QFA73,"-33.935818,151.171219",0,33,5
1520060614,2018-03-03T07:03:34Z,QFA73,"-33.936459,151.171402",0,34,5
1520060620,2018-03-03T07:03:40Z,QFA73,"-33.93679,151.171494",0,15,5
1520060629,2018-03-03T07:03:49Z,QFA73,"-33.937489,151.171661",0,15,5
1520060636,2018-03-03T07:03:56Z,QFA73,"-33.938084,151.171799",0,16,5
1520060642,2018-03-03T07:04:02Z,QFA73,"-33.938408,151.171906",0,34,5
1520060649,2018-03-03T07:04:09Z,QFA73,"-33.938805,151.171997",0,32,5
1520060670,2018-03-03T07:04:30Z,QFA73,"-33.940212,151.172348",0,29,5
1520060695,2018-03-03T07:04:55Z,QFA73,"-33.941456,151.172668",0,28,5
1520060707,2018-03-03T07:05:07Z,QFA73,"-33.941994,151.172821",0,28,5
1520060713,2018-03-03T07:05:13Z,QFA73,"-33.942448,151.172928",0,31,5
1520060722,2018-03-03T07:05:22Z,QFA73,"-33.942982,151.17308",0,33,5
1520060729,2018-03-03T07:05:29Z,QFA73,"-33.94352,151.173218",0,15,5
1520060738,2018-03-03T07:05:38Z,QFA73,"-33.944145,151.17337",0,15,5
1520060745,2018-03-03T07:05:45Z,QFA73,"-33.944599,151.173492",0,15,5
1520060751,2018-03-03T07:05:51Z,QFA73,"-33.945042,151.173584",0,16,5
1520060757,2018-03-03T07:05:57Z,QFA73,"-33.945484,151.173721",0,16,5
1520060763,2018-03-03T07:06:03Z,QFA73,"-33.94595,151.173828",0,17,5
1520060769,2018-03-03T07:06:09Z,QFA73,"-33.946449,151.173965",0,18,5
1520060775,2018-03-03T07:06:15Z,QFA73,"-33.946999,151.174118",0,20,5
1520060781,2018-03-03T07:06:21Z,QFA73,"-33.947544,151.174255",0,21,5
1520060788,2018-03-03T07:06:28Z,QFA73,"-33.948212,151.174423",0,22,5
1520060794,2018-03-03T07:06:34Z,QFA73,"-33.948761,151.174561",0,20,5
1520060803,2018-03-03T07:06:43Z,QFA73,"-33.949661,151.174789",0,21,5
1520060809,2018-03-03T07:06:49Z,QFA73,"-33.950256,151.174957",0,22,5
1520060815,2018-03-03T07:06:55Z,QFA73,"-33.950874,151.17511",0,22,5
1520060821,2018-03-03T07:07:01Z,QFA73,"-33.951485,151.175278",0,20,5
1520060827,2018-03-03T07:07:07Z,QFA73,"-33.952038,151.175415",0,21,5
1520060833,2018-03-03T07:07:13Z,QFA73,"-33.952641,151.175598",0,21,5
1520060840,2018-03-03T07:07:20Z,QFA73,"-33.953259,151.175735",0,22,5
1520060846,2018-03-03T07:07:26Z,QFA73,"-33.953876,151.175903",0,22,5
1520060852,2018-03-03T07:07:32Z,QFA73,"-33.954529,151.176056",0,23,5
1520060858,2018-03-03T07:07:38Z,QFA73,"-33.955215,151.176254",0,23,5
1520060870,2018-03-03T07:07:50Z,QFA73,"-33.956505,151.176575",0,24,5
1520060876,2018-03-03T07:07:56Z,QFA73,"-33.957134,151.176758",0,22,5
1520060883,2018-03-03T07:08:03Z,QFA73,"-33.957752,151.17691",0,20,5
