Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1520213722,2018-03-05T01:35:22Z,SIA32,"1.358505,103.997559",600,170,23
1520213729,2018-03-05T01:35:29Z,SIA32,"1.362671,103.999329",850,170,23
1520213735,2018-03-05T01:35:35Z,SIA32,"1.367203,104.001747",1100,170,31
1520213741,2018-03-05T01:35:41Z,SIA32,"1.371048,104.004448",1325,172,37
1520213747,2018-03-05T01:35:47Z,SIA32,"1.374619,104.00724",1525,173,38
1520213753,2018-03-05T01:35:53Z,SIA32,"1.378189,104.010178",1750,173,40
1520213760,2018-03-05T01:36:00Z,SIA32,"1.381996,104.013725",2000,173,43
1520213768,2018-03-05T01:36:08Z,SIA32,"1.38707,104.019394",2175,180,53
1520213774,2018-03-05T01:36:14Z,SIA32,"1.389724,104.023811",2250,186,63
1520213780,2018-03-05T01:36:20Z,SIA32,"1.391493,104.028496",2325,194,75
1520213786,2018-03-05T01:36:26Z,SIA32,"1.392331,104.034088",2425,201,86
1520213810,2018-03-05T01:36:50Z,SIA32,"1.390411,104.058174",2700,231,99
1520213816,2018-03-05T01:36:56Z,SIA32,"1.389305,104.064255",2775,239,100
1520213825,2018-03-05T01:37:05Z,SIA32,"1.387253,104.07428",2975,244,102
1520213831,2018-03-05T01:37:11Z,SIA32,"1.385834,104.080841",3175,245,102
1520213838,2018-03-05T01:37:18Z,SIA32,"1.38437,104.08741",3400,245,102
1520213846,2018-03-05T01:37:26Z,SIA32,"1.382089,104.097641",3700,246,102
1520213852,2018-03-05T01:37:32Z,SIA32,"1.380615,104.104347",3925,247,102
1520213859,2018-03-05T01:37:39Z,SIA32,"1.379105,104.111053",4100,250,102
1520213867,2018-03-05T01:37:47Z,SIA32,"1.376876,104.121643",4300,257,101
1520213873,2018-03-05T01:37:53Z,SIA32,"1.375525,104.128136",4425,262,101
1520213879,2018-03-05T01:37:59Z,SIA32,"1.373932,104.136055",4525,268,100
1520213885,2018-03-05T01:38:05Z,SIA32,"1.372593,104.143143",4625,273,100
1520213891,2018-03-05T01:38:11Z,SIA32,"1.371289,104.1502",4750,277,100
1520213897,2018-03-05T01:38:17Z,SIA32,"1.369939,104.157684",4900,280,100
1520213903,2018-03-05T01:38:23Z,SIA32,"1.368439,104.166359",5100,282,99
1520213915,2018-03-05T01:38:35Z,SIA32,"1.365889,104.181503",5550,282,99
1520213927,2018-03-05T01:38:47Z,SIA32,"1.363358,104.197365",5975,286,98
1520213939,2018-03-05T01:38:59Z,SIA32,"1.360977,104.213326",6275,294,98
1520213951,2018-03-05T01:39:11Z,SIA32,"1.358551,104.230133",6550,303,98
1520213963,2018-03-05T01:39:23Z,SIA32,"1.356033,104.246986",6800,311,98
1520213975,2018-03-05T01:39:35Z,SIA32,"1.353378,104.264305",7000,320,98
1520213987,2018-03-05T01:39:47Z,SIA32,"1.35054,104.282043",7225,329,99
1520213999,2018-03-05T01:39:59Z,SIA32,"1.347408,104.300789",7450,337,99
1520214011,2018-03-05T01:40:11Z,SIA32,"1.344382,104.318832",7850,339,99
1520214024,2018-03-05T01:40:24Z,SIA32,"1.341202,104.337807",8275,340,99
1520214036,2018-03-05T01:40:36Z,SIA32,"1.338043,104.355919",8625,344,99
1520214048,2018-03-05T01:40:48Z,SIA32,"1.334792,104.375465",9025,347,98
1520214060,2018-03-05T01:41:00Z,SIA32,"1.332047,104.39502",9475,347,96
1520214072,2018-03-05T01:41:12Z,SIA32,"1.330948,104.414017",9950,346,90
1520214093,2018-03-05T01:41:33Z,SIA32,"1.331543,104.447578",10675,348,89
1520214105,2018-03-05T01:41:45Z,SIA32,"1.331906,104.467529",11100,349,88
1520214118,2018-03-05T01:41:58Z,SIA32,"1.332278,104.48661",11400,353,88
1520214130,2018-03-05T01:42:10Z,SIA32,"1.332698,104.50631",11700,357,88
1520214141,2018-03-05T01:42:21Z,SIA32,"1.333116,104.526054",12025,360,88
1520214174,2018-03-05T01:42:54Z,SIA32,"1.33442,104.581604",13025,363,88
1520214207,2018-03-05T01:43:27Z,SIA32,"1.335663,104.637703",13925,369,88
1520214238,2018-03-05T01:43:58Z,SIA32,"1.336794,104.685455",14850,367,88
1520214270,2018-03-05T01:44:30Z,SIA32,"1.338144,104.742188",15700,373,88
1520214303,2018-03-05T01:45:03Z,SIA32,"1.3396,104.802444",16550,377,88
1520214334,2018-03-05T01:45:34Z,SIA32,"1.340881,104.855614",17325,379,88
1520214367,2018-03-05T01:46:07Z,SIA32,"1.342255,104.909515",18050,383,88
1520214433,2018-03-05T01:47:13Z,SIA32,"1.345127,105.029015",19475,390,88
1520214458,2018-03-05T01:47:38Z,SIA32,"1.346237,105.075806",20000,392,88
1520214547,2018-03-05T01:49:07Z,SIA32,"1.35022,105.240601",21775,401,88
1520214611,2018-03-05T01:50:11Z,SIA32,"1.353041,105.358078",23000,405,88
1520214675,2018-03-05T01:51:15Z,SIA32,"1.35585,105.477455",23925,414,88
1520214698,2018-03-05T01:51:38Z,SIA32,"1.356949,105.522102",24225,418,88
1520214787,2018-03-05T01:53:07Z,SIA32,"1.36116,105.698296",25500,430,87
1520214802,2018-03-05T01:53:22Z,SIA32,"1.365051,105.727859",25600,434,77
1520214832,2018-03-05T01:53:52Z,SIA32,"1.390961,105.782188",25750,444,54
1520214856,2018-03-05T01:54:16Z,SIA32,"1.426575,105.817802",25875,453,37
1520214862,2018-03-05T01:54:22Z,SIA32,"1.436556,105.824669",25900,453,35
1520214871,2018-03-05T01:54:31Z,SIA32,"1.453082,105.834",25950,457,27
1520214877,2018-03-05T01:54:37Z,SIA32,"1.46489,105.839775",25975,459,25
1520214889,2018-03-05T01:54:49Z,SIA32,"1.488694,105.851471",26075,462,26
1520214950,2018-03-05T01:55:50Z,SIA32,"1.607758,105.914444",26400,477,27
1520215367,2018-03-05T02:02:47Z,SIA32,"2.440036,106.345146",30300,497,27
1520215722,2018-03-05T02:08:42Z,SIA32,"3.164575,106.720245",32000,491,27
1520215811,2018-03-05T02:10:11Z,SIA32,"3.345104,106.813766",32000,493,27
1520215872,2018-03-05T02:11:12Z,SIA32,"3.467972,106.877464",32000,495,27
1520215935,2018-03-05T02:12:15Z,SIA32,"3.596207,106.949913",32000,490,35
1520220176,2018-03-05T03:22:56Z,SIA32,"11.615063,112.693901",36000,506,35
1520223908,2018-03-05T04:25:08Z,SIA32,"18.085602,119.065536",36000,532,47
1520223969,2018-03-05T04:26:09Z,SIA32,"18.186539,119.182922",36000,533,48
1520224032,2018-03-05T04:27:12Z,SIA32,"18.28758,119.300636",36000,533,48
1520224093,2018-03-05T04:28:13Z,SIA32,"18.389669,119.419739",36000,534,48
1520224161,2018-03-05T04:29:21Z,SIA32,"18.501709,119.550774",36000,533,48
1520224223,2018-03-05T04:30:23Z,SIA32,"18.603516,119.670052",36000,533,48
1520224289,2018-03-05T04:31:29Z,SIA32,"18.71414,119.799919",36000,533,48
1520224350,2018-03-05T04:32:30Z,SIA32,"18.815344,119.919014",36000,533,48
1520224412,2018-03-05T04:33:32Z,SIA32,"18.916315,120.038017",36000,534,48
1520224473,2018-03-05T04:34:33Z,SIA32,"19.017986,120.158173",36000,535,48
1520224535,2018-03-05T04:35:35Z,SIA32,"19.119329,120.278069",36000,536,48
1520224598,2018-03-05T04:36:38Z,SIA32,"19.225515,120.404015",36000,536,48
1520224660,2018-03-05T04:37:40Z,SIA32,"19.326096,120.523552",36000,534,48
1520224722,2018-03-05T04:38:42Z,SIA32,"19.428949,120.646011",36000,535,48
1520224783,2018-03-05T04:39:43Z,SIA32,"19.528931,120.76535",36000,533,48
1520224844,2018-03-05T04:40:44Z,SIA32,"19.629217,120.885216",36000,533,48
1520224906,2018-03-05T04:41:46Z,SIA32,"19.730049,121.006065",36000,534,48
1520224967,2018-03-05T04:42:47Z,SIA32,"19.830975,121.127213",36000,536,48
1520225028,2018-03-05T04:43:48Z,SIA32,"19.931351,121.247963",36000,534,48
1520225089,2018-03-05T04:44:49Z,SIA32,"20.031189,121.368416",36000,535,48
1520225150,2018-03-05T04:45:50Z,SIA32,"20.13105,121.489014",36000,537,48
1520225212,2018-03-05T04:46:52Z,SIA32,"20.23114,121.610268",36000,539,48
1520225273,2018-03-05T04:47:53Z,SIA32,"20.332993,121.73381",36000,538,48
1520225335,2018-03-05T04:48:55Z,SIA32,"20.434799,121.857506",36000,537,48
1520225396,2018-03-05T04:49:56Z,SIA32,"20.534042,121.9785",36000,538,48
1520225457,2018-03-05T04:50:57Z,SIA32,"20.634745,122.101555",36000,540,48
1520225519,2018-03-05T04:51:59Z,SIA32,"20.735779,122.225105",36000,542,49
1520225566,2018-03-05T04:52:46Z,SIA32,"20.813971,122.321075",36000,542,49
1520225675,2018-03-05T04:54:35Z,SIA32,"20.979,122.518402",36000,352,44
1520225736,2018-03-05T04:55:36Z,SIA32,"21.120804,122.633537",36000,534,32
1520225815,2018-03-05T04:56:55Z,SIA32,"21.281662,122.745903",36000,537,33
1520225849,2018-03-05T04:57:29Z,SIA32,"21.350555,122.793991",36000,537,33
1520225937,2018-03-05T04:58:57Z,SIA32,"21.538376,122.925278",36000,538,33
1520225998,2018-03-05T04:59:58Z,SIA32,"21.665924,123.014679",36000,540,33
1520226061,2018-03-05T05:01:01Z,SIA32,"21.798969,123.108162",36000,541,33
1520226123,2018-03-05T05:02:03Z,SIA32,"21.928116,123.199135",36000,540,33
1520226171,2018-03-05T05:02:51Z,SIA32,"22.02562,123.275887",36000,548,43
1520226238,2018-03-05T05:03:58Z,SIA32,"22.150085,123.401436",36000,548,42
1520226301,2018-03-05T05:05:01Z,SIA32,"22.269424,123.520683",36000,549,43
1520226362,2018-03-05T05:06:02Z,SIA32,"22.382269,123.633881",36425,546,43
1520226423,2018-03-05T05:07:03Z,SIA32,"22.494041,123.746284",36925,547,43
1520226486,2018-03-05T05:08:06Z,SIA32,"22.611214,123.864342",37000,546,43
1520226520,2018-03-05T05:08:40Z,SIA32,"22.671753,123.925529",37000,547,43
1520226608,2018-03-05T05:10:08Z,SIA32,"22.836618,124.092354",37000,548,43
1520226636,2018-03-05T05:10:36Z,SIA32,"22.886124,124.142464",37000,549,43
1520226725,2018-03-05T05:12:05Z,SIA32,"23.051039,124.310051",37000,548,43
1520226757,2018-03-05T05:12:37Z,SIA32,"23.11072,124.37088",37000,550,43
1520226854,2018-03-05T05:14:14Z,SIA32,"23.292252,124.556297",37000,547,43
1520226878,2018-03-05T05:14:38Z,SIA32,"23.332354,124.597374",37000,546,43
1520226975,2018-03-05T05:16:15Z,SIA32,"23.514862,124.784561",37000,548,43
1520226992,2018-03-05T05:16:32Z,SIA32,"23.545578,124.816185",37000,548,43
1520227066,2018-03-05T05:17:46Z,SIA32,"23.685196,124.960075",37000,549,43
1520227234,2018-03-05T05:20:34Z,SIA32,"23.993349,125.279274",37000,547,43
1520227297,2018-03-05T05:21:37Z,SIA32,"24.109917,125.400543",37000,548,43
1520227361,2018-03-05T05:22:41Z,SIA32,"24.226156,125.521858",37000,546,43
1520227439,2018-03-05T05:23:59Z,SIA32,"24.366577,125.668793",37000,548,43
1520227500,2018-03-05T05:25:00Z,SIA32,"24.48024,125.788116",37000,546,43
1520227563,2018-03-05T05:26:03Z,SIA32,"24.595642,125.909645",37000,545,43
1520227624,2018-03-05T05:27:04Z,SIA32,"24.705505,126.02552",37000,542,44
1520227687,2018-03-05T05:28:07Z,SIA32,"24.820024,126.146629",37000,542,44
1520227750,2018-03-05T05:29:10Z,SIA32,"24.933838,126.267342",37000,548,44
1520227811,2018-03-05T05:30:11Z,SIA32,"25.045244,126.385841",37000,548,44
1520227874,2018-03-05T05:31:14Z,SIA32,"25.159607,126.507874",37025,546,44
1520227937,2018-03-05T05:32:17Z,SIA32,"25.27565,126.632027",37000,541,44
1520227998,2018-03-05T05:33:18Z,SIA32,"25.384144,126.748283",37000,541,44
1520228061,2018-03-05T05:34:21Z,SIA32,"25.497849,126.870575",37000,543,44
