Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1520168846,2018-03-04T13:07:26Z,UAL820,"19.357122,-98.907997",16409,321,186
1520168852,2018-03-04T13:07:32Z,UAL820,"19.347485,-98.916008",16693,320,210
1520168861,2018-03-04T13:07:41Z,UAL820,"19.337433,-98.91964",16942,320,201
1520168876,2018-03-04T13:07:56Z,UAL820,"19.31654,-98.926903",17550,305,204
1520168885,2018-03-04T13:08:05Z,UAL820,"19.31011,-98.940071",17950,311,233
1520168891,2018-03-04T13:08:11Z,UAL820,"19.308071,-98.953812",18146,338,254
1520168900,2018-03-04T13:08:20Z,UAL820,"19.307203,-98.96843",18232,358,263
1520168921,2018-03-04T13:08:41Z,UAL820,"19.310249,-99.007957",18619,390,275
1520168941,2018-03-04T13:09:01Z,UAL820,"19.322803,-99.055244",18942,478,287
1520168972,2018-03-04T13:09:32Z,UAL820,"19.331186,-99.122482",19722,435,277
1520169012,2018-03-04T13:10:12Z,UAL820,"19.348602,-99.205788",20745,438,288
1520169018,2018-03-04T13:10:18Z,UAL820,"19.355125,-99.221878",20944,442,292
1520169025,2018-03-04T13:10:25Z,UAL820,"19.358595,-99.22963",21052,442,292
1520169032,2018-03-04T13:10:32Z,UAL820,"19.366211,-99.245628",21265,449,295
1520169038,2018-03-04T13:10:38Z,UAL820,"19.370083,-99.252899",21365,453,298
1520169103,2018-03-04T13:11:43Z,UAL820,"19.445429,-99.386948",23760,468,301
1520169169,2018-03-04T13:12:49Z,UAL820,"19.510853,-99.515045",25613,464,298
1520169233,2018-03-04T13:13:53Z,UAL820,"19.574186,-99.647552",27470,468,297
1520169299,2018-03-04T13:14:59Z,UAL820,"19.637999,-99.780151",29341,476,297
1520169360,2018-03-04T13:16:00Z,UAL820,"19.719666,-99.899437",30600,470,311
1520169421,2018-03-04T13:17:01Z,UAL820,"19.806309,-99.999001",31555,470,314
1520169484,2018-03-04T13:18:04Z,UAL820,"19.898882,-100.109756",32600,470,312
1520169545,2018-03-04T13:19:05Z,UAL820,"19.98394,-100.214485",33550,470,311
1520169607,2018-03-04T13:20:07Z,UAL820,"20.0737,-100.326218",34625,460,311
1520169668,2018-03-04T13:21:08Z,UAL820,"20.155519,-100.4282",35575,460,311
1520169730,2018-03-04T13:22:10Z,UAL820,"20.244802,-100.538757",35975,460,311
1520169791,2018-03-04T13:23:11Z,UAL820,"20.328453,-100.642998",35977,460,311
1520169852,2018-03-04T13:24:12Z,UAL820,"20.411104,-100.745682",35975,460,311
1520169915,2018-03-04T13:25:15Z,UAL820,"20.498701,-100.855133",36000,458,311
1520169984,2018-03-04T13:26:24Z,UAL820,"20.59152,-100.971397",35975,450,311
1520170046,2018-03-04T13:27:26Z,UAL820,"20.672606,-101.073143",36000,450,311
1520170107,2018-03-04T13:28:27Z,UAL820,"20.756926,-101.17907",35975,445,311
1520170173,2018-03-04T13:29:33Z,UAL820,"20.843071,-101.287598",36000,440,311
1520170235,2018-03-04T13:30:35Z,UAL820,"20.92729,-101.393997",35975,443,310
1520170301,2018-03-04T13:31:41Z,UAL820,"21.013075,-101.501633",35999,440,310
1520170364,2018-03-04T13:32:44Z,UAL820,"21.10149,-101.604935",36000,440,313
1520170428,2018-03-04T13:33:48Z,UAL820,"21.191298,-101.708267",35999,441,313
1520170489,2018-03-04T13:34:49Z,UAL820,"21.274965,-101.805946",36000,448,313
1520170552,2018-03-04T13:35:52Z,UAL820,"21.363708,-101.909927",35999,448,313
1520170616,2018-03-04T13:36:56Z,UAL820,"21.453112,-102.014839",35997,448,313
1520170677,2018-03-04T13:37:57Z,UAL820,"21.537071,-102.113434",36000,448,313
1520170741,2018-03-04T13:39:01Z,UAL820,"21.626379,-102.218536",35997,448,313
1520170803,2018-03-04T13:40:03Z,UAL820,"21.716389,-102.324074",35975,448,313
1520170869,2018-03-04T13:41:09Z,UAL820,"21.808105,-102.424911",36000,444,315
1520170936,2018-03-04T13:42:16Z,UAL820,"21.910069,-102.532341",36000,450,315
1520170997,2018-03-04T13:43:17Z,UAL820,"21.998724,-102.628189",35975,450,315
1520171060,2018-03-04T13:44:20Z,UAL820,"22.092482,-102.728783",36000,455,316
1520171125,2018-03-04T13:45:25Z,UAL820,"22.186573,-102.830177",35992,444,314
1520171189,2018-03-04T13:46:29Z,UAL820,"22.278372,-102.930962",36000,430,317
1520171253,2018-03-04T13:47:33Z,UAL820,"22.364872,-103.026009",36000,440,314
1520171316,2018-03-04T13:48:36Z,UAL820,"22.46209,-103.133087",36000,438,314
1520171379,2018-03-04T13:49:39Z,UAL820,"22.553661,-103.233269",35986,438,314
1520171441,2018-03-04T13:50:41Z,UAL820,"22.636801,-103.32502",35975,434,314
1520171465,2018-03-04T13:51:05Z,UAL820,"22.655542,-103.345062",35975,423,315
1520171529,2018-03-04T13:52:09Z,UAL820,"22.761784,-103.46109",36000,441,314
1520171840,2018-03-04T13:57:20Z,UAL820,"23.191957,-103.934425",36000,444,314
1520171953,2018-03-04T13:59:13Z,UAL820,"23.2834,-104.036285",36000,444,314
1520172053,2018-03-04T14:00:53Z,UAL820,"23.380959,-104.145134",35975,444,314
1520172353,2018-03-04T14:05:53Z,UAL820,"23.942183,-104.775467",35975,442,314
1520172427,2018-03-04T14:07:07Z,UAL820,"24.05508,-104.903641",36000,438,314
1520172464,2018-03-04T14:07:44Z,UAL820,"24.09045,-104.943794",35975,438,314
1520172545,2018-03-04T14:09:05Z,UAL820,"24.202133,-105.070183",35974,434,314
1520172635,2018-03-04T14:10:35Z,UAL820,"24.340439,-105.227493",36000,430,314
1520172697,2018-03-04T14:11:37Z,UAL820,"24.430586,-105.330162",36000,430,314
1520172760,2018-03-04T14:12:40Z,UAL820,"24.501499,-105.411255",36000,430,314
1520172821,2018-03-04T14:13:41Z,UAL820,"24.582474,-105.504387",36000,423,314
1520172887,2018-03-04T14:14:47Z,UAL820,"24.663708,-105.597572",35987,420,314
1520172939,2018-03-04T14:15:39Z,UAL820,"24.73871,-105.683647",35985,420,314
1520173022,2018-03-04T14:17:02Z,UAL820,"24.856724,-105.819992",35975,416,314
1520173052,2018-03-04T14:17:32Z,UAL820,"24.872526,-105.838226",36000,416,314
1520173947,2018-03-04T14:32:27Z,UAL820,"26.013666,-107.287117",36000,412,310
1520173983,2018-03-04T14:33:03Z,UAL820,"26.075264,-107.369164",36000,410,310
1520174026,2018-03-04T14:33:46Z,UAL820,"26.119003,-107.427307",35975,410,310
1520174071,2018-03-04T14:34:31Z,UAL820,"26.128633,-107.440285",36000,410,310
1520174110,2018-03-04T14:35:10Z,UAL820,"26.184814,-107.514801",36000,410,310
1520174188,2018-03-04T14:36:28Z,UAL820,"26.316496,-107.68795",35975,410,310
1520174226,2018-03-04T14:37:06Z,UAL820,"26.330421,-107.705734",36000,410,310
1520174316,2018-03-04T14:38:36Z,UAL820,"26.45598,-107.875526",36000,410,310
1520174382,2018-03-04T14:39:42Z,UAL820,"26.550745,-108.005341",35979,410,310
1520174394,2018-03-04T14:39:54Z,UAL820,"26.564444,-108.023621",36000,410,310
1520174484,2018-03-04T14:41:24Z,UAL820,"26.681261,-108.176537",36000,403,309
1520174528,2018-03-04T14:42:08Z,UAL820,"26.733135,-108.248451",36000,401,310
1520174624,2018-03-04T14:43:44Z,UAL820,"26.824879,-108.37439",36000,401,310
1520174694,2018-03-04T14:44:54Z,UAL820,"26.914558,-108.496437",36300,401,310
1520174773,2018-03-04T14:46:13Z,UAL820,"26.994301,-108.605003",38000,401,310
1520174825,2018-03-04T14:47:05Z,UAL820,"27.021641,-108.64257",38000,401,310
1520174860,2018-03-04T14:47:40Z,UAL820,"27.079763,-108.721733",38000,401,310
