Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1520324233,2018-03-06T08:17:13Z,CCA985,"40.072929,116.607864",0,0,87
1520324504,2018-03-06T08:21:44Z,CCA985,"40.072922,116.607872",0,0,139
1520324549,2018-03-06T08:22:29Z,CCA985,"40.072922,116.607872",0,0,139
1520324727,2018-03-06T08:25:27Z,CCA985,"40.072945,116.608139",0,10,87
1520324745,2018-03-06T08:25:45Z,CCA985,"40.072987,116.608429",0,11,87
1520324763,2018-03-06T08:26:03Z,CCA985,"40.073017,116.608734",0,11,87
1520324782,2018-03-06T08:26:22Z,CCA985,"40.072968,116.609009",0,10,87
1520324802,2018-03-06T08:26:42Z,CCA985,"40.072826,116.609238",0,9,87
1520325094,2018-03-06T08:31:34Z,CCA985,"40.072796,116.609245",0,2,87
1520325115,2018-03-06T08:31:55Z,CCA985,"40.073021,116.609222",0,12,87
1520325127,2018-03-06T08:32:07Z,CCA985,"40.073273,116.609192",0,15,87
1520325139,2018-03-06T08:32:19Z,CCA985,"40.073505,116.609154",0,11,87
1520325257,2018-03-06T08:34:17Z,CCA985,"40.073742,116.609116",0,11,87
1520325278,2018-03-06T08:34:38Z,CCA985,"40.074142,116.609055",0,16,87
1520325286,2018-03-06T08:34:46Z,CCA985,"40.07439,116.609009",0,18,87
1520325301,2018-03-06T08:35:01Z,CCA985,"40.074898,116.608932",0,22,354
1520325320,2018-03-06T08:35:20Z,CCA985,"40.075653,116.609024",0,25,14
1520325332,2018-03-06T08:35:32Z,CCA985,"40.076111,116.609261",0,25,28
1520325350,2018-03-06T08:35:50Z,CCA985,"40.076786,116.610054",0,27,50
1520325359,2018-03-06T08:35:59Z,CCA985,"40.077087,116.610588",0,27,53
1520325371,2018-03-06T08:36:11Z,CCA985,"40.077473,116.611084",0,22,28
1520325380,2018-03-06T08:36:20Z,CCA985,"40.07777,116.61113",0,20,359
1520325392,2018-03-06T08:36:32Z,CCA985,"40.078171,116.611099",0,20,354
1520325401,2018-03-06T08:36:41Z,CCA985,"40.078457,116.611038",0,19,351
1520325410,2018-03-06T08:36:50Z,CCA985,"40.078732,116.610992",0,19,87
1520325426,2018-03-06T08:37:06Z,CCA985,"40.07922,116.610931",0,21,354
1520325435,2018-03-06T08:37:15Z,CCA985,"40.07959,116.610855",0,23,351
1520325449,2018-03-06T08:37:29Z,CCA985,"40.080231,116.610748",0,27,354
1520325462,2018-03-06T08:37:42Z,CCA985,"40.080753,116.61068",0,30,354
1520325473,2018-03-06T08:37:53Z,CCA985,"40.081268,116.610603",0,32,351
1520325482,2018-03-06T08:38:02Z,CCA985,"40.082211,116.610458",0,16,354
1520325488,2018-03-06T08:38:08Z,CCA985,"40.08268,116.610367",0,17,351
1520325494,2018-03-06T08:38:14Z,CCA985,"40.08321,116.610291",0,16,354
1520325500,2018-03-06T08:38:20Z,CCA985,"40.083595,116.610229",0,33,354
1520325506,2018-03-06T08:38:26Z,CCA985,"40.083813,116.610199",0,31,354
1520325512,2018-03-06T08:38:32Z,CCA985,"40.084225,116.610138",0,23,354
1520325518,2018-03-06T08:38:38Z,CCA985,"40.084435,116.610107",0,20,354
1520325528,2018-03-06T08:38:48Z,CCA985,"40.084648,116.610077",0,17,87
1520325536,2018-03-06T08:38:56Z,CCA985,"40.084888,116.610031",0,15,87
1520325551,2018-03-06T08:39:11Z,CCA985,"40.085197,116.609985",0,14,87
1520325566,2018-03-06T08:39:26Z,CCA985,"40.085423,116.609947",0,11,87
1520325659,2018-03-06T08:40:59Z,CCA985,"40.085678,116.609901",0,12,87
1520325675,2018-03-06T08:41:15Z,CCA985,"40.085991,116.609871",0,17,87
1520325696,2018-03-06T08:41:36Z,CCA985,"40.086575,116.609779",0,18,87
